hno,gugun,animal_hospital,approval,road_address,tel,lat,lon,basic_date
33,해운대구,해운대 24시 동물의료원,2017-06-14,"부산광역시 해운대구 양운로 45, 해운대베르나움 111호 (좌동)",051-702-7581,35.167376,129.176777,2023-12-31
34,해운대구,해운대 플러스동물병원,2016-05-16,"부산광역시 해운대구 세실로 48, 상가동 1-2, 2-2호 (좌동, 해운대삼정코아주상복합)",051-915-8275,35.16968,129.178547,2023-12-31
35,해운대구,해운대동물메디컬센터,2021-08-10,"부산광역시 해운대구 양운로 40, 봉황빌딩 301호 (좌동)",051-702-8275,35.167237,129.177774,2023-12-31
36,해운대구,해운대조은동물병원,2004-03-19,부산광역시 해운대구 해운대로 624 (우동),051-746-7775,35.163569,129.159252,2023-12-31
37,해운대구,해운대 케이 동물병원,1999-01-22,"부산광역시 해운대구 해운대로 580, 4층 (우동)",051-704-7582,35.161211,129.155099,2023-12-31
38,해운대구,행복드림 동물병원,2021-04-12,"부산광역시 해운대구 삼어로 61, 201호 (반여동, 우방신세계아파트)",051-521-0521,35.202849,129.116152,2023-12-31
39,해운대구,화목종합동물병원,2004-03-03,"부산광역시 해운대구 세실로 48, 206호 (좌동)",051-704-4376,35.16968,129.178547,2023-12-31
40,해운대구,힐 동물병원,2018-01-11,"부산광역시 해운대구 좌동순환로433번길 30-1, 해운대힐스테이트위브 224~227호 (중동)",051-747-7966,35.162524,129.179846,2023-12-31
41,금정구,수종합동물병원,1999-01-29,부산광역시 금정구 금강로 340 (장전동),051-582-9335,35.238488,129.0866097,2023-12-31
42,금정구,남산동물병원,2000-06-14,부산광역시 금정구 금강로 703-3 (남산동),051-517-8275,35.27028623,129.0888702,2023-12-31
43,금정구,에이스종합동물병원,2001-06-09,부산광역시 금정구 금강로 578 (구서동),051-582-8701,35.25911835,129.0878525,2023-12-31
44,금정구,구서동물병원,2005-08-19,부산광역시 금정구 금강로 454 (구서동),051-512-1661,35.24806842,129.0887485,2023-12-31
45,부산광역시 동래구,사직동물의료센터,2021-09-07,"부산광역시 동래구 아시아드대로 209, 2층 (온천동, 지영아이니드빌)",051-505-7578,35.2029629,129.0658831,2023-12-31
46,부산광역시 동래구,리브동물의료센터,2022-04-14,부산광역시 동래구 충렬대로125번길 6 (온천동),051-552-5553,35.20614924,129.074574,2023-12-31
47,부산광역시 동래구,온정동물병원,2022-10-14,"부산광역시 동래구 안연로 72, 1층 (안락동)",051-531-8275,35.19369543,129.0989,2023-12-31
48,부산광역시 부산진구,도담동물병원,2002-03-28,부산광역시 부산진구 망양로 973 (범천동),051-818-0251,35.14217029,129.0555656,2023-12-31
49,부산광역시 부산진구,가야종합동물병원,2003-09-03,부산광역시 부산진구 가야대로 491 (개금동),051-894-7559,35.15351324,129.0258266,2023-12-31
50,부산광역시 부산진구,서면동물병원,2007-03-29,부산광역시 부산진구 부전로 87 (부전동),051-809-8092,35.15799841,129.054574,2023-12-31
51,부산광역시 부산진구,더원동물의료센터,2020-09-09,부산광역시 부산진구 새싹로 218 (초읍동),051-808-5550,35.1701946,129.0514274,2023-12-31
52,부산광역시 부산진구,대디동물병원,2020-10-19,"부산광역시 부산진구 동평로 173, 207,208호 (부암동, 협성휴포레시티즌파크아파트)",051-806-5000,35.16635389,129.0473603,2023-12-31
53,부산광역시 부산진구,24시 온동물의료센터,2021-03-02,부산광역시 부산진구 동성로 152 (전포동),051-819-6061,35.16171142,129.0628981,2023-12-31
54,부산광역시 부산진구,풍경동물병원,2021-11-12,부산광역시 부산진구 성지로 110-1(초읍동),051-818-1101,35.17996029,129.0520474,2023-12-31
55,부산광역시 부산진구,올케어 동물의료센터,2022-02-14,"부산광역시 부산진구 동평로 356, 1층 (양정동)",051-714-0011,35.17459977,129.064098,2023-12-31
56,부산광역시 부산진구,위드동물병원,2008-01-04,부산광역시 부산진구 동평로 54 (당감동),051-891-7597,35.16488872,129.0353658,2023-12-31
57,해운대구,BS조은동물병원,2011-02-10,부산광역시 해운대구 윗반송로 73 (반송동),051-544-7588,35.230555,129.156999,2023-12-31
58,해운대구,갑을동물병원,2004-08-16,"부산광역시 해운대구 재반로 148, 32호 (재송동)",051-784-7844,35.190959,129.127957,2023-12-31
59,해운대구,누리동물병원,2014-10-13,부산광역시 해운대구 송정2로13번길 46 (송정동),051-701-7599,35.194809,129.206318,2023-12-31
60,부산광역시 사상구,학장동물병원,2014-10-24,부산광역시 사상구 대동로 129 (학장동),051-312-7555,35.140299,128.981432,2024-01-05
61,부산광역시 기장군,바른진료 동물병원,2021-03-26,"부산광역시 기장군 일광읍 해빛로 13, 일광제일프라자 2층 203호",051-724-7570,35.26618318,129.226425,2024-01-16
62,수영구,남천동물병원,1989-10-05,"부산광역시 수영구 황령대로 505, 1층 (남천동)",051-622-0046,35.13759128,129.1089783,2023-12-31
63,수영구,광안동물병원,1995-05-08,"부산광역시 수영구 수영로 567, 2층 (광안동)",051-751-7829,35.1565138,129.1126488,2023-12-31
64,수영구,이상동물병원,1996-05-20,"부산광역시 수영구 수영로 757, 2층 (수영동)",051-759-0225,35.16745143,129.1219968,2023-12-31
65,수영구,소망애견종합병원,1998-04-30,"부산광역시 수영구 수영로 485, 6동 2호 (남천동, 화목아파트)",051-628-8211,35.14919566,129.1105627,2023-12-31
66,수영구,세진동물병원,2004-02-04,"부산광역시 수영구 과정로15번길 7 (망미동, 국화)",051-751-5656,35.17259678,129.1084771,2023-12-31
67,수영구,사랑동물병원,2004-11-25,부산광역시 수영구 수영로 733 (수영동),051-754-7599,35.16872514,129.119753,2023-12-31
68,수영구,연제종합동물병원,2006-07-27,부산광역시 수영구 연수로 241 (망미동),051-753-8875,35.17344661,129.0973241,2023-12-31
69,수영구,삼성동물병원,2007-02-15,부산광역시 수영구 연수로 235 (망미동),051-754-3270,35.17352548,129.0965787,2023-12-31
70,수영구,ABC동물병원,2012-02-21,부산광역시 수영구 수영로 618-1 (광안동),051-761-2502,35.16092704,129.1140152,2023-12-31
71,수영구,민락동물병원,2014-06-30,부산광역시 수영구 광남로 207 (광안동),051-757-8529,35.15887347,129.1216483,2023-12-31
72,수영구,서울동물병원,2014-10-24,부산광역시 수영구 광안로 19 (광안동),051-514-5404,35.15659162,129.1149657,2023-12-31
73,수영구,나비동물병원,2015-03-18,부산광역시 수영구 광남로 184 (광안동),051-754-6618,35.15705893,129.119999,2023-12-31
74,수영구,차이 동물병원,2015-06-04,"부산광역시 수영구 황령산로 3, 2층 (남천동)",051-627-7542,35.14730882,129.1099005,2023-12-31
75,수영구,알로하 동물병원,2016-03-10,"부산광역시 수영구 수영로 602, 1층 (광안동)",051-757-7845,35.15930737,129.1137077,2023-12-31
76,수영구,클릭퍼피 동물병원,2017-05-22,"부산광역시 수영구 수영로702번길 18, 3층 (광안동)",051-752-4981,35.16687992,129.1165443,2023-12-31
77,수영구,박종현동물병원,2018-01-05,"부산광역시 수영구 광남로 258, 1층 (민락동)",051-744-4179,35.15955506,129.1268713,2023-12-31
78,수영구,이랑동물병원,2018-02-08,"부산광역시 수영구 과정로 37, 1층 (망미동)",051-752-8883,35.17466964,129.1075282,2023-12-31
79,수영구,더프라임동물의료원,2018-04-12,"부산광역시 수영구 수영로 405-1, 2-4층 (남천동)",051-625-2345,35.14260141,129.1081685,2023-12-31
80,수영구,바다동물병원,2019-04-02,"부산광역시 수영구 광남로 125, 1층 (광안동)",051-756-0075,35.15274066,129.1161643,2023-12-31
81,금정구,순동물병원,2013-01-04,부산광역시 금정구 금강로 206-3 (장전동),051-516-7585,35.22681064,129.0830924,2023-12-31
82,금정구,동물병원 산책,2014-08-25,부산광역시 금정구 수림로 25 (부곡동),051-714-0209,35.23911813,129.0887056,2023-12-31
83,금정구,드림동물병원,2015-03-06,부산광역시 금정구 금강로 539 (구서동),051-517-8575,35.25552427,129.0875846,2023-12-31
84,금정구,서동 동물메디컬센터,2015-04-17,부산광역시 금정구 서동로175번길 11 (서동),051-525-7810,35.21490944,129.1063179,2023-12-31
85,금정구,제일2차동물메디컬센터,2015-04-27,부산광역시 금정구 중앙대로 1754 (부곡동),051-516-1175,35.24086159,129.0932776,2023-12-31
86,금정구,제일동물진단영상센터,2015-04-27,부산광역시 금정구 중앙대로 1754 (부곡동),051-516-1175,35.24086159,129.0932776,2023-12-31
87,금정구,쿨펫동물병원 이마트금정점,2015-08-28,"부산광역시 금정구 중앙대로1841번길 24 (구서동, E마트금정점)",051-518-1360,35.24994464,129.0905977,2023-12-31
88,금정구,보담동물의료센터,2023-03-21,"부산광역시 금정구 식물원로 11, 2층 (장전동)",051-953-2000,35.22387552,129.0867332,2023-12-31
89,금정구,에이치동물메디컬센터,2020-03-10,부산광역시 금정구 부곡로 3 (부곡동),051-583-7575,35.21764059,129.0864413,2023-12-31
90,금정구,웰동물병원,2020-11-03,"부산광역시 금정구 금강로403번길 1, 2층 (구서동)",051-515-7272,35.24371012,129.0872618,2023-12-31
91,금정구,지동범 동물 안과 치과 병원,1991-10-09,"부산광역시 금정구 부곡로 184, 1,2층 (부곡동)",051-515-7450,35.23221934,129.0920629,2023-12-31
92,금정구,부곡동물병원,1994-07-05,부산광역시 금정구 부곡로 86 (부곡동),051-517-9247,35.2235103,129.091254,2023-12-31
93,금정구,한독동물병원,1997-09-23,부산광역시 금정구 서동로 200 (서동),051-531-2852,35.21401841,129.10814,2023-12-31
94,부산광역시 남구,문현동물병원,1992-10-20,부산광역시 남구 수영로 38,051-634-4017,35.1364186,129.0718286,2024-01-08
95,부산광역시 남구,용호동물병원,1995-04-08,부산광역시 남구 용호로123번길 5,051-628-0855,35.12136248,129.1125767,2024-01-08
96,부산광역시 남구,우암동물병원,1996-12-02,부산광역시 남구 석포로 7,051-636-5242,35.12223481,129.0821491,2024-01-08
97,부산광역시 남구,25시 동물병원,2000-06-26,부산광역시 남구 수영로 34,051-635-0402,35.13651461,129.071421,2024-01-08
98,부산광역시 남구,튼튼동물병원,2002-08-13,부산광역시 남구 수영로334번길 3,051-621-7555,35.13824774,129.1024278,2024-01-08
99,부산광역시 남구,메트로동물병원,2003-03-24,부산광역시 남구 용호로 20,051-623-7588,35.12828682,129.1069598,2024-01-08
100,부산광역시 남구,조양래 동물의료센터,2003-10-13,부산광역시 남구 수영로 224-1,051-627-2885,35.13484756,129.0911421,2024-01-08
101,부산광역시 남구,해온동물병원,2013-05-02,부산광역시 남구 용호로 233,051-612-7552,35.11142141,129.1112709,2024-01-08
102,부산광역시 남구,다솜고양이메디컬센터,2013-05-23,부산광역시 남구 수영로13번길 3,051-636-7582,35.13743579,129.0692688,2024-01-08
103,부산광역시 남구,지경희동물병원,2013-06-11,부산광역시 남구 용호로 199,051-704-0220,35.11450739,129.1111903,2024-01-08
104,부산광역시 남구,(주)다솜동물메디컬센터,2013-07-15,부산광역시 남구 수영로13번길 3,051-632-7580,35.13743579,129.0692688,2024-01-08
105,부산광역시 남구,헬로동물병원,2013-08-13,부산광역시 남구 분포로 115,051-627-1275,35.13218981,129.1127248,2024-01-08
106,부산광역시 남구,다온 동물병원,2015-11-12,부산광역시 남구 수영로 345,051-622-2171,35.13988753,129.1035202,2024-01-08
107,부산광역시 남구,UN동물의료센터,2017-10-12,부산광역시 남구 수영로 221,051-624-2475,35.13534181,129.0907522,2024-01-08
108,부산광역시 남구,W동물의료센터,2019-05-20,부산광역시 남구 용호로 68,051-626-5050,35.12545631,129.1110378,2024-01-08
109,사하구,사하동물의료원,1992-04-30,부산광역시 사하구 낙동대로 356 (당리동),051-206-1891,35.10154879,128.9788549,2024-01-19
110,사하구,박 동물병원,1992-08-28,부산광역시 사하구 낙동대로 407 (당리동),051-202-4964,35.10334891,128.9736006,2024-01-19
111,사하구,참조은 동물병원,2003-03-26,부산광역시 사하구 낙동대로 295-1 (괴정동),051-292-0141,35.10404299,128.9825264,2024-01-19
112,사하구,장 동물병원,2004-09-15,부산광역시 사하구 윤공단로56번길 55 (다대동),051-262-7582,35.05885554,128.9701881,2024-01-19
113,사하구,하단동물병원,2004-09-23,부산광역시 사하구 하신중앙로 296 (하단동),051-291-4456,35.10357682,128.9631392,2024-01-19
114,사하구,하단오거리 동물의료센터,2005-03-08,"부산광역시 사하구 하신중앙로 340, 1층 (하단동)",051-264-8275,35.10547111,128.9674942,2024-01-19
115,부산광역시 부산진구,부일동물병원,1994-10-05,"부산광역시 부산진구 국악로 5 (연지동, 연지로얄아파트)",051-809-8008,35.17110323,129.0526686,2023-12-31
116,부산광역시 부산진구,화승종합동물병원,1997-08-27,부산광역시 부산진구 동평로 107 (부암동),051-807-7517,35.16602888,129.0411542,2023-12-31
117,부산광역시 부산진구,새부산종합동물병원,1998-03-26,부산광역시 부산진구 전포대로298번길 1 (전포동),051-802-6637,35.16340021,129.0656094,2023-12-31
118,부산광역시 부산진구,애경동물병원,2000-02-12,부산광역시 부산진구 새싹로 155 (연지동),051-808-0251,35.17010804,129.0499773,2023-12-31
119,부산광역시 부산진구,그린동물병원,2001-07-11,"부산광역시 부산진구 전포대로 274 (전포동, 서면대우디오빌2)",051-817-4749,35.16092875,129.0657967,2023-12-31
120,서구,대신동물병원,2001-11-16,부산광역시 서구 망양로 19-1 (서대신동3가),051-254-2304,35.112536,129.013101,2023-12-31
121,서구,대호동물병원,1989-06-30,"부산광역시 서구 구덕로 130 (토성동5가, 해오름상가1층)",051-256-1188,35.0969066,129.0217225,2023-12-31
122,서구,만박동물병원,2015-01-12,"부산광역시 서구 까치고개로 257, 1층 (토성동1가)",051-241-7975,35.0995049,129.0238734,2023-12-31
123,서구,베이시티동물병원,2022-12-06,부산광역시 서구 송도해변로 192(암남동),051-710-0719,35.07875745,129.0229259,2023-12-31
124,서구,가온동물병원,2018-02-02,부산광역시 서구 대영로 36 (서대신동1가),051-241-3131,35.10921,129.015335,2023-12-31
125,부산광역시 연제구,거제동물병원,1975-10-14,부산광역시 연제구 거제대로 146(거제동),051-862-8668,35.18151509,129.0700401,2023-12-31
126,부산광역시 연제구,청조동물병원,1991-11-23,부산광역시 연제구 온천천남로 4(연산동),051-503-0688,35.19296228,129.091273,2023-12-31
127,부산광역시 연제구,양지동물병원,1999-06-19,부산광역시 연제구 월드컵대로114번길 1(연산동),051-867-5595,35.18462032,129.0827072,2023-12-31
128,부산광역시 연제구,현대동물병원,2003-03-28,부산광역시 연제구 과정로 171-1(연산동),051-755-4765,35.18682563,129.1069467,2023-12-31
129,부산광역시 연제구,피정현 동물병원,2009-05-04,"부산광역시 연제구 거제천로 258(연산동, 월드빌스포츠센터)",051-864-7582,35.19161023,129.0852596,2023-12-31
130,부산광역시 연제구,부산동물메디컬센터,2010-12-27,부산광역시 연제구 거제대로 278(거제동),051-868-7591,35.19082822,129.0779583,2023-12-31
131,부산광역시 연제구,망미동물병원,2011-01-12,부산광역시 연제구 과정로 84(연산동),051-753-7580,35.17881741,129.1073759,2023-12-31
132,부산광역시 연제구,토곡동물병원,2014-05-20,부산광역시 연제구 과정로 234-1(연산동),051-759-8669,35.18785674,129.1016245,2023-12-31
133,부산광역시 연제구,MS동물병원,2014-06-17,부산광역시 연제구 과정로 354(연산동),051-868-6631,35.19144922,129.0901328,2023-12-31
134,부산광역시 연제구,아이디펫 동물병원,2015-08-31,부산광역시 연제구 과정로344번길 1(연산동),051-863-8638,35.19078773,129.0905192,2023-12-31
135,부산광역시 연제구,이룸동물병원,2015-09-24,부산광역시 연제구 연수로 140(연산동),051-868-0075,35.17451301,129.0860311,2023-12-31
136,부산광역시 연제구,해비치동물병원,2017-08-03,"부산광역시 연제구 안연로 28, 1층(연산동, 그린주택)",051-753-9875,35.19007735,129.100282,2023-12-31
137,부산광역시 연제구,온천천동물병원,2018-01-24,부산광역시 연제구 세병로 84(거제동),051-868-7579,35.19587759,129.0828238,2023-12-31
138,부산광역시 연제구,진석범동물병원,2018-04-20,부산광역시 연제구 과정로237번길 115(연산동),051-997-8275,35.18476273,129.1068089,2023-12-31
139,부산광역시 연제구,Jpet동물병원,2018-07-12,부산광역시 연제구 연수로 98(연산동),051-853-7579,35.18407489,129.0801967,2023-12-31
140,부산광역시 연제구,엘동물의료센터,2019-08-22,"부산광역시 연제구 중앙대로 1133, 1층(연산동)",051-862-8275,35.18879417,129.0806435,2023-12-31
141,부산광역시 연제구,연산동물의료센터,2021-01-13,부산광역시 연제구 연수로 135(연산동),051-791-0175,35.17494996,129.0855539,2023-12-31
142,부산광역시 중구,고동물병원,1996-06-20,부산광역시 중구 자갈치로47번길 5 (남포동5가),051-246-0473,35.09767884,129.0292058,2023-12-31
143,부산광역시 중구,희망종합동물병원,1998-01-09,"부산광역시 중구 구덕로 51, 2층 (남포동5가)",051-241-0103,35.09796834,129.0301417,2023-12-31
144,부산광역시 중구,피닉스동물병원,1999-11-01,부산광역시 중구 구덕로 30-1 (남포동2가),051-246-7551,35.09807434,129.0325121,2023-12-31
145,부산광역시 영도구,,2004-01-03,부산광역시 영도구 태종로 78,051-415-2468,35.09213928,129.0392806,2023-12-31
146,부산광역시 영도구,,1996-05-09,부산광역시 영도구 동삼로 80,051-405-9493,35.08053566,129.0706151,2023-12-31
147,부산광역시 영도구,,2002-01-04,부산광역시 영도구 태종로 111,051-415-2566,35.09111541,129.0430402,2023-12-31
148,부산광역시 동래구,동래종합동물병원,2012-03-19,"부산광역시 동래구 금강로 69, 105호 (온천동)",051-558-0775,35.21560697,129.0773872,2023-12-31
149,부산광역시 동래구,레알동물병원,2012-07-10,부산광역시 동래구 반송로 243 (안락동),051-524-8275,35.20241123,129.0989227,2023-12-31
150,부산광역시 동래구,바른동물병원,2012-07-27,부산광역시 동래구 충렬대로 488 (안락동),051-531-7582,35.19429868,129.1112629,2023-12-31
151,부산광역시 동래구,뉴욕동물병원,2013-04-19,부산광역시 동래구 명륜로 65 (수안동),051-555-2119,35.19995209,129.0841635,2023-12-31
152,부산광역시 동래구,학산동물병원,2014-04-04,부산광역시 동래구 동래로147번길 6 (복천동),051-557-7577,35.20467189,129.0870334,2023-12-31
153,부산광역시 동래구,스카이동물병원,2014-05-01,"부산광역시 동래구 충렬대로 160, 1층 (온천동)",051-506-8875,35.2043683,129.0773947,2023-12-31
154,부산광역시 동래구,훈 동물병원,2014-05-12,부산광역시 동래구 명륜로194번길 2 (명륜동),051-554-0010,35.21105706,129.082892,2023-12-31
155,부산광역시 동래구,유성준동물병원,2016-03-08,"부산광역시 동래구 명륜로 90 (수안동, 호원메디컬)",051-555-4813,35.20225575,129.0841711,2023-12-31
156,부산광역시 동래구,온천동물병원,2016-10-28,부산광역시 동래구 아시아드대로 207 (온천동),051-505-4088,35.20270319,129.0658144,2023-12-31
157,부산광역시 동래구,노블동물병원,2018-05-31,부산광역시 동래구 아시아드대로 160 (사직동),051-982-2580,35.19866202,129.0654625,2023-12-31
158,부산광역시 동래구,대일종합동물병원,2019-04-08,부산광역시 동래구 충렬대로 435 (안락동),051-529-2991,35.19648977,129.1061241,2023-12-31
159,부산광역시 동래구,유기화동물의료센터,2019-12-26,부산광역시 동래구 아시아드대로 131-1 (사직동),051-506-8492,35.19619127,129.0656183,2023-12-31
160,부산광역시 동래구,린동물병원,2020-06-03,부산광역시 동래구 중앙대로1381번길 43 (온천동),051-514-2470,35.21102815,129.0755263,2023-12-31
161,부산광역시 동래구,헤아림동물병원,2021-03-23,부산광역시 동래구  충렬대로 288 (낙민동),051-555-1125,35.20009887,129.0904351,2023-12-31
162,부산광역시 동래구,24시 리본동물의료센터,2021-03-31,부산광역시 동래구 충렬대로 194 2층 (명륜동),051-711-0006,35.20291583,129.0809845,2023-12-31
163,부산광역시 동래구,24시 리본동물영상센터,2021-03-31,부산광역시 동래구 충렬대로 194 3층 (명륜동),051-711-0006,35.20291583,129.0809845,2023-12-31
164,부산광역시 동래구,온마음동물병원,2021-07-08,부산광역시 동래구 중앙대로1473번길 24 온천장역삼정그린코아더시티 상가동 109~110호 (온천동),051-552-6800,35.21807192,129.0825697,2023-12-31
165,부산광역시 부산진구,정훈동물병원,2014-04-25,"부산광역시 부산진구 부전로66번길 12, 2층 (부전동)",051-809-7975,35.15577406,129.0553684,2023-12-31
166,부산광역시 부산진구,스타동물병원,2014-12-11,"부산광역시 부산진구 전포대로 170, B1층 104호 (전포동)",051-819-7588,35.15180674,129.0657873,2023-12-31
167,부산광역시 부산진구,양·한방 전문 힘찬동물병원,2016-09-09,"부산광역시 부산진구 대학로 1, 1,2층 (가야동)",051-894-8275,35.15467839,129.0382326,2023-12-31
168,부산광역시 부산진구,닥터펫 동물의료센터,2016-11-29,"부산광역시 부산진구 개금온정로 6 (개금동, 개금블루스카이)",051-891-8575,35.15367771,129.0255653,2023-12-31
169,부산광역시 부산진구,하이동물병원,2023-08-01,"부산광역시 부산진구 거제대로 18, 1, 2층 (양정동)",051-852-7570,35.1701852,129.0677114,2023-12-31
170,부산광역시 부산진구,롯데동물메디컬센터,2019-09-18,부산광역시 부산진구 거제대로 20 (양정동),"051-851-6612,3",35.17037746,129.0675997,2023-12-31
171,부산광역시 부산진구,보듬 동물병원,2020-03-11,"부산광역시 부산진구 가야대로 517, 윤정빌딩 (가야동)",051-894-1202,35.15365246,129.0285393,2023-12-31
172,부산광역시 부산진구,서면Q 외과 동물병원,2020-04-13,"부산광역시 부산진구 서전로 25, 이오스프라자 201호 (전포동)",051-818-5975,35.15796437,129.0625859,2023-12-31
173,부산광역시 부산진구,부산종합동물병원,1991-03-20,부산광역시 부산진구 중앙대로 867 (양정동),051-817-4626,35.16853621,129.0668511,2023-12-31
174,부산광역시 부산진구,초읍동물병원,2008-06-13,부산광역시 부산진구 새싹로 243-4 (초읍동),051-805-0975,35.17820938,129.0481493,2023-12-31
175,부산광역시 부산진구,신개금동물병원,2011-04-07,부산광역시 부산진구 복지로 47 (개금동),051-891-1077,35.14904924,129.0207441,2023-12-31
176,부산광역시 부산진구,웰니스크리닉,2011-08-24,"부산광역시 부산진구 시민공원로 31, 이마트트레이더스서면점 (부암동)",051-803-7511,35.1639021,129.0525537,2023-12-31
177,부산광역시 부산진구,펫케어 동물병원,2012-04-27,"부산광역시 부산진구 가야공원로 6, B112호 (가야동, 가야센트레빌아파트)",051-896-7582,35.15298214,129.0289259,2023-12-31
178,부산광역시 부산진구,미소동물병원,2013-02-08,"부산광역시 부산진구 가야대로 754 (부전동, 한솔폴라리스)",051-894-5433,35.15710324,129.05386,2023-12-31
179,부산광역시 부산진구,우진동물병원,1992-08-07,"부산광역시 부산진구 동평로 115-1, 1층 (부암동)",051-865-1782,35.16624608,129.042101,2023-12-31
